Number;Type;X;Y;Z
1;2;15.304380;101.065696;-62.337777
1;2;19.562123;101.065696;75.120440
1;2;-4.051116;101.065696;-60.361310
1;2;38.444999;101.065696;70.432305
1;2;-22.083432;101.065696;-53.055341
1;2;55.265838;101.065696;60.654730
1;2;-37.356125;101.065696;-41.001857
1;2;68.684702;101.065696;46.566589
1;2;-48.652581;101.065696;-25.161034
1;2;77.632651;101.065696;29.290136
1;2;-55.072930;101.065696;-6.794741
1;2;81.396897;101.065696;10.201604
1;2;-56.105732;101.065696;12.633974
1;2;79.677583;101.065696;-9.178426
1;2;-51.668714;101.065696;31.577429
1;2;72.611668;101.065696;-27.306152
1;2;-42.115326;101.065696;48.526600
1;2;60.762019;101.065696;-42.737530
1;2;-28.206586;101.065696;62.131325
1;2;45.072572;101.065696;-54.243305
1;2;-11.050456;101.065696;71.307861
1;2;26.793139;101.065696;-60.906934
1;2;7.986417;101.065696;75.325209
1;2;7.379849;101.065696;-62.197595
1;2;27.387566;101.065696;73.863351
1;2;-11.620845;101.065696;-58.012475
1;2;45.607507;101.065696;67.038736
1;2;-28.695360;101.065696;-48.684959
1;2;61.194849;101.065696;55.395009
1;2;-42.483550;101.065696;-34.958072
1;2;72.907915;101.065696;39.859704
1;2;-51.887054;101.065696;-17.925288
1;2;79.813647;101.065696;21.670353
1;2;-56.156796;101.065696;1.056569
1;2;81.361940;101.065696;2.275911
1;2;-54.952651;101.065696;20.475417
1;2;77.429457;101.065696;-16.778674
1;2;-48.370539;101.065696;38.784361
1;2;68.329457;101.065696;-33.975523
1;2;-36.934788;101.065696;54.524920
1;2;54.786841;101.065696;-47.944745
1;2;-21.556363;101.065696;66.443212
1;2;37.880407;101.065696;-57.573561
1;2;-3.460301;101.065696;73.589831
1;2;18.956911;101.065696;-62.094944
1;2;15.911875;101.065696;75.395482
1;2;-0.476212;101.065696;-61.148724
1;2;35.016991;101.065696;71.716329
1;2;-18.870931;101.065696;-54.810275
1;2;52.333143;101.065696;62.845449
1;2;-34.761933;101.065696;-43.584515
1;2;66.480936;101.065696;49.489493
1;2;-46.883349;101.065696;-28.365682
1;2;76.333366;101.065696;32.712388
1;2;-54.269596;101.065696;-10.366100
1;2;81.105593;101.065696;13.850589
1;2;-56.332287;101.065696;8.980397
1;2;80.417464;101.065696;-5.593384
1;2;-52.907112;101.065696;28.132676
1;2;74.323796;101.065696;-24.070635
1;2;-44.266916;101.065696;45.565077
1;2;63.310007;101.065696;-40.109278
1;2;-31.099974;101.065696;59.888947
